Subject,Email_Body
['30'],"['just as clarification - we start 6 players and have weekly scoring in haed to head matchups', ""you can chage your lineup before each day 's worth of action"", 'your sixth man can be any position', 'the draft order will be determind at 10']"
['new product'],"[', on the new gas daily product that you are setting up , i think it would be a good idea to have a nymex reference in the short description', 'something like , us gas daily nx gd/d hsc', 'in addtion , we need two new index locations set up , carthage hub and agua dulce hub', 'please contact todd richardson for further details on these']"
['new product'],"[', on the new gas daily product that you are setting up , i think it would be a good idea to have a nymex reference in the short description', 'something like , us gas daily nx gd/d hsc', 'in addtion , we need two new index locations set up , carthage hub and agua dulce hub', 'please contact for further details on these']"
['pick-ups'],"['i was thinking that there would be a moratorium on the bidding process for free agents until the start of the season', 'if you disagree , let me know', 'the moratorium will last until noon on wednesday , august 30th', 'you can have no more than 17 players on your roster at any time']"
['new product'],"[', the texas desk needs to get a created', 'we already have a baseload index corpus product', 'we need to create a day corpus product with the same parameters as this baseload product', 'also , anything new on the 5 x 24']"
['winning the cultural war'],"[""that 's good news about the location"", ""i 'll have to come visit you"", 'how is artillery school going have you gotten to blow shit up yet later brett lawler hotmail', 'com on 02/03/2000 12 15 24 pm']"
['pick-ups'],"['please e-mail me who you want to add and drop', 'check you roster to make sure that it is legal', 'i still need your dues by sunday or you forfeit', 'i have only received dues from dave and !']"
['redneck nativity scene'],"['a salesman from new jersey pulled off the highway to get gas in tyler , txrecently and wandered into town to soak up the local culture', ""he noticed a'nativity scene ' that showed great skill and talent had gone into creatingit"", 'one small feature bothered him however', 'the 3 wisemen were wearingfiremens helmets', 'totally unable to come up with a reason or explanation , he left', 'however , when he stopped at the ez mart to get gas , he ask the ladybehind the counter about the helmets', ""she exploded into a rage , yelling , you yankees never do read the bible ! he assured her that he did , but simplycould n't recall anything about firemen in the bible"", 'she jerked her biblefrom behind the counter and ruffled thru some pages , and finally jabbedher finger at a passage', 'sticking it in his face she said see , it says righthere , the three wise men came from afar']"
['home audio ?'],"['a guy at work is thinking about upgrading his home speakers', 'he really likes a set already and wants to buy them , but they require a high powered amp', 'his question is does the quality of the amp make that big of a difference assuming equivalent power levels i', 'e for a given level of power how much does the quality of the high end amp matter']"
['arrrgh ye scurvy dogs'],"['hey brett , not too much going on in h-town', 'i just recently started trading natural gas futures', 'i have had three heart attacks , a stroke , and have bitten off all of my fingers in a week', 'other than that things are going pretty well', 'i should be in town for easter , so if you want to get together , lem me know', 'how is artillery school going out brett lawler hotmail', 'com on 03/06/2000 06 59 06 am']"
['re :'],"['i had a really fun time', 'there were probablyabout 10 people from work there and my bro', 'we stayed out until about 1 30 andthen went home', ""i 'm going to start calling you backout if youdo n't shape up""]"
['re :'],"['i hope you were only thinking good things ! i had a pretty good weekend', 'i got to see my extendedfamily in fairfield', 'did you ever meet my cousin chuck and his wife shelley they have the cutest kids ( becca and cullen )', 'so , i spent a lot of timewith them', ""i had fun at your birthday party ! when do i get to take youto pf 's for lunch danielle samson jonesgranger"", 'com on 02/07/200006 44 38 am']"
['product description change'],"['please disregard the changes to the agua dulce product below', 'instead i need to change the corpus chr poolx product', 'please remove koch refinery ( meter 1244 ) from the corpus product', 'the applicable product numbers are 27661 , 27662 , 27663 , 27660']"
['dallas'],"['plove is going to go to', 'we are going to leave next friday when he gets done ( 7ish ) and go up for the game', 'the game is at 11 in the morning , so we will come home directly after it', ""plove says he has a friend who has a place in that we can crash at if we do n't want to pay for a hotel"", 'do you want to go -']"
['24 x 5 products'],"['we are going to be rolling out a new product on eol starting this bidweek', 'this product will be for physical delivery only on the weekdays ( no weekend delivery )', 'currently , the eol/sitara bridge can not handle this type of logic , so these deals will have to be input manually', 'let me know if you have further questions']"
['cws'],"['you know that all of us ( matt , chad , and i ) are just fucking with you about the ees bullshit', 'if it bothers you that much then say something about it', 'as far as my comments on your performance here , i was just kidding', ""i know that brenda thinks the world of you and that you would n't have stayed even if invited , besides , i learned from the intramonth guru himself"", ""i was just trying to defend myself because you were saying that all i do is follow tom 's lead"", 'and , by the way , i did not make a comment about ees until you brought up the cfa', ""i know that you , matt , and chad think that i had nerves and that is why i did n't take the test , but why the hell would i have nerves about a test that has no bearing whatsoever on my future"", 'so quit the bullshit , and , texas will still beat the shit out of lsu on sat']"
['game tonight @ 7'],"['this is to those of you who can make the game tonight', 'please try to get to the game as early as possible ( 6 15-6 30 ) so we can practice a little', ""we should have eight pending ' friend"", 'let me know if anything comes up between now and game time that we prevent your attendance']"
['dresdner kleinwort benson potential conflict of interest'],"[""graham just called back and said that the rio m & a people were engaged by petras to review other enron asset sales ( i think this implies elektro and the ldc 's ) and it was only recently that we requested that petras consider cuiaba as well"", 'in any case he assured me that there is a strong chinese wall between the project finance group and the m & a group so it is unlikely that they could obtain any info as a result', 'he assured me that they will make everyone aware of the need for increased care on cuiaba information handling due to this situation', 'let me know if you require more', 'it is my understanding that neal provided similar reasuarance at your meeting today']"
['specs'],"['i think this will take about 1-2 hours', 'it can be done by phone but in person would be better', 'i would like to make sure that our documentation is clean before we start', 'the have a lot of discrepencies with the drawings , the bordeaux , and our contract', 'also , i am not sure that we each have a drawing of the electrical which matches and conforms to the lists we are working on with bill', 'i would also like to see whatever supplement we are going to sign to the contract so we can make sure that there are no misunderstandings on what is included', 'i think we have everything worked out but there are a lot of players and we all need to be on the same page', ""i can make time to finish all of this just let me know what your schedule is ( and bill 's , joe 's etc if they are needed )""]"
['vintage gas & list of potential bolivian producers'],"['the lenders would like a list of the potential producers in bolivia for cuiaba i and if info is available on their holdings please provide that as well', 'can we also give the details of the vintage transaction as an example of our capabilities if their consent is required can you obtain kfw is ok on relying solely on the back-up fuel supply support but opic is not there yet', 'also , kfw is offering to allow us to go back to floating on interest rate', 'they will provide the cost within the next 24 hours , but they have indicated that it will be significantly less than us $ 250,000 for a current estimated annual savings of 60 bps', 'this sounds like a good move to me']"
['insurance'],"['according to cliff shedd , we would be covered by if we terminated the contract with furnas and furnas failed to pay the termination payment', 'however the insurers will only pay after we receive an arbitration judgement against them and the refuse to honor the judgement', 'i assume we would also have to exhaust our remedies against trhe guarantor ( eletras )', 'also , we are required to notify the underwriters immediately of a material default']"
['insurance'],"['according to , we would be covered by if we terminated the contract with furnas and furnas failed to pay the termination payment', 'however the insurers will only pay after we receive an arbitration judgement against them and the refuse to honor the judgement', 'i assume we would also have to exhaust our remedies against trhe guarantor ( eletras )', 'also , we are required to notify the underwriters immediately of a material default']"
['gsa'],"['on friday we distributed rfps for securing bridge gas', 'letters went today to chaco , totalfinaelf , andina , maxus , britishgas and petras for them to quote us 6-month gas with our option to extend for another 6 months', 'we have given them until march 2nd to respond', 'pete weidler will meet with ypf ( hopefully with ernesto lopez anad n ) the week of the 19th']"
['decision on furnas jan 22'],"['we just had a call with novak , barquin ( v & e ) and tozzini on options for next monday such as economic equilibrium , arbitration , litigation etc', 'we will be putting all the results together for you by friday morning', 'in the mean time , it may be helpful for you to reflect on the following ( particularly the table )', 'this is really starting to bring it into focus for me', ""we will try to do the same for our options on monday 's decision""]"
['interconnection agreements'],"[', i think the supplemental info you have provided is outstanding and helpful to the lenders in understanding the overall picture and the history', 'however , its focus is not the central concern of the lenders at this point as i understand it', 'the lenders and their counsel are concerned specifically about third party liability meaning , i believe , lawsuits or claims from parties who did not receive power because cuiaba failed to generate', 'therefore , i think the questions which tozzinni needs to address are along the lines of', 'if epe is required to sign the agreements by aneel , what is the extent of damages that could be claimed in the context of such agreements', 'could any consequential damages be assessed', 'could epe excuse itself from the legal proceedings on the basis of the bid documents , the ppa or other agreements with furnas , electronote or eletrabras', 'how would the economic equilibrium process work in the case of a judgement which was payable by epe could the process be expedited to avert a liquidity crisis', 'could epe be denied access to the grid as a result of failure to cover a spot market price assessed by the mae stemming from an unscheduled outage', 'similarly , could epe incur penalties or be denied transmission if they failed to contribute in accordance with the shared liability provisions of the agreements', 'will we need to sign the agreements for other reasons ( such as access to back-up power ) which would be excluded from the protections by furnas under the ppa', 'could furnas deny or delay reimbursement if the amount is not recoverable by them or while they are awaiting word on a claims recoverability 10 ) a question for insurance - does our business interuption insurance']"
['cuiaba i insurance review'],"['in light of numerous construction delays , increased sponsor contributions , unusual central bank exposures etc', 'we would like to conduct a comprehensive review of our insurance coverages for the cuiaba i project', 'i am availble at your convenience to begin meeting for the exchange of info which will be required to fulfill this endeavor', 'i will be the point person on behalf of the project', 'my assistant , blanca bollom can make all of the meeting arrangements', 'please let us know who should attend']"
['epe dispatch'],"[""luis , it may be important to substantiate officially furnas ' need to show 300mw available even if constrained"", 'is there a way to demonstarte that from public records secondly', 'can you provide the technical description of the system constraints and what is involved in overcoming them', 'for instance does a new transmission line have to be built or new transformer installed how long would it take to obtain these or other items and correct the plem enron12/21/2000 09 46 am']"
['gd tiered deals'],"['fyi , please book all future gd priced tiered deals as two deals in sitara', 'the reason for this is eventhough we put a swap on the deal for the volume that should be at index , the swap looks at the volume as a monthly volume as opposed to a daily and gives the monthly volume to the desk at mid', 'what typically happens is the total volume for the first half of the month comes to the desk entirely at mid', 'this is causing some substantial oa variances', 'if you have any questions , please let me know']"
['credit report'],"['i have a few concerns about this', 'we are suppossed to be the only point of contact for changes in tagg', 'this is an internal control issue that leaves all responsibility for errors in tagg with risk', 'if other people are touching deals in tagg , any errors will then have to be investigated further and thus take longer to resolve', 'i guess my main question for you is , does a problem exist in the current system is risk not addressing your issues and needs on a timely basis if so , we need to readdress that issue and resolve it in a more timely manner', 'please let me know if the others disagree with me']"
"['nr2989', '1']","[""can either of the two distinguished 's from accounting help me with a financial liquidation problem from 0007"", 'i have a deal that is showing up in my actuals for the bed fred file for this production month', 'when i look at the deal in tagg , the deal is an annuity booked to ng-price', 'i do not believe this should be in the central region', 'any assistance in clearing this is much appreciated due to the fun meeting we had yesterday regarding financial liquidations']"
['thank you'],"['asa & joy , i just wanted to take a minute and thank the two of you for your generosity this past week', 'my friends and i had a terrific time and everyone really enjoyed your condo', 'the weather was terrific and the fish put up a formidable challenge', 'we are very interested in renting the condo from you guys during the season this year', 'i requested that the cleaning charges this time be put on my credit card', 'please let me know if they charge you guys anything']"
['web access'],"['please grant me access to the rac website', 'i am the manager for the central region - natural gas', 'i need access to activate and inactivate and view all central books', 'please give me a call with any questions']"
['sitara deal locations'],"['i wanted to ask a favor', 'would you mind reminding your group to please let us know when they change a pipe or trading zone or add a location to a deal in sitara', 'if we do not catch this change , the trader will be getting the deal at contract instead of mid , because the swap does not automatically update when you change the physical deal', 'if the change is simply a meter , that will not effect the pricing of the deal']"
['changing deal locations'],"['i have a favor to ask', 'would you mind asking your team to email or phone me when they make a location change on a deal in sitara', 'we had a case yesterday where a deal was originally entered at one location for the deal and for the hedge', 'the point was incorrect and a person in logistics corrected it', ""the problem occurs in that sitara looks to verify the locations are the same on the deal and the hedge and if they are , it will then value the deal in the trader 's book at mid"", 'if the locations are different , it will value the deal at the customer price', ""this could potentially have a large impact on the trader 's p & l"", 'it does not seem pertinent to have your guys changing swap locations in addition to changing deal locations due to time constraints', 'we will be more than happy to make the changes , and we should also be able to catch these problems in the first place when we calc our books', 'i would greatly appreciate your groups help in cutting some of these issues off at the pass', 'if you have any questions or concerns , please feel free to give me a shout']"
['flyer'],"['slight changes - make sure of course it is all on one page', 'check the spelling of herschel-navy records are in the floor of the office', 'should only need 10 copies or so', ""have mike and denise sent us the money for the room yet tickets to neville 's pl""]"
['gd curves that pubposted as 0 for 3/31/01'],"['attached is a file listing all of the curves we had that posted as 0 price for 3/31/01', 'we need these pub posted as the same price as the 30th - prices are included in this file', 'we need these pub posted asap so that we can flash march detail', 'risk does not have authorization to override an existing pub posting , this is why we need your help', 'if you have any questions , please give me a shout']"
['new orig schedule for central'],"[""per 's request , we have modified the orig schedule for central"", 'i have attached the revised schedule', 'please note the following changes - on the 1st tab - orig schedule , we added a column for deal value before origination was granted', 'we will populate this field for all new deals as of yesterday', 'the other changes are the second tab', 'the second tab provides a summary by originator of the total deals originated and total value originated', 'we will update both schedules in the future for all deals originated whether value was originated or not', 'we will then email this schedule to the three of you every time the schedule changes', 'if you would prefer a hard copy , please let me know', 'if there are any other changes or modifications you would like to see , please let me know']"
['originator deals'],"['we have had a problem arise today with some deals that are being booked in sitara by originators and deal tickets/notebooks are not being communicated properly to ensure entry into tagg & sitara for prompt month deals', 'would you mind forwarding this email to your groups and asking them to copy the other desks on any originator notebooks that they get that involve pipelines on other desks', 'for example , nelson ferries writes all of his deals on one sheet and all deals by pipeline are on one page', 'this would simply be an additional step to verify all deals are being captured', 'hopefully this will eliminate any future problems', 'if you have any suggestions for ways to better handle this , please let me know']"
['eol gas prices'],"['sorry it has taken me a few days to get back with you , i had to leave town unexpectedly and just returned today', 'all of that sounds great , how about putting the file in the o drive under erms/1intra/central', 'please name the file eol curves', 'please let me know if you have any problems']"
['trader website access project'],"['team please provide me your list of names for each trader that should have view access for your region on the trader website to be developed', 'if you also need update access , in addition to view access please provide a separate list for those as well', 'please send me your lists by end of day tomorrow ( wed , 3/14 ) if possible , or let me know when you can provide the information', 'thank you for your help !']"
['book moves and retranslation'],"['i just wanted to respond to your email and let you know the thought process of the book move for ontario', 'this move was requested by the trader 10 days ago', 'we notified curtis smith and bill kasemervisz the following business day last monday - july 24th', 'for future reference , please let us know exactly how much notice is required and if you think there are other groups we may have missed notifying so that this does not become a problem again']"
"[""official post id 's""]","[""fyi , sally is getting an ear full today from the rac group about unofficialized post id 's"", 'we run a macro every night to verify these are officialized', 'i just want to remind everyone that this is very important that we do this', 'our group and jeff will catch tremendous heat if these errors continue', 'again , this is just a reminder , we are doing a good job on this currently']"
['new orleans'],"['i do not mind us bringing jackson', 'i understand your desire to be with him all the time , but i would like to occasionally do something with our friends for a vacation that is just us', 'i think in time you will become more comfortable , and i will just wait for that time', 'you need to talk to your mom and decide if we are going this weekend', 'if we go we need to make plans for barkley', 'bundle jackson up this morning it is near freezing', 'please cover the plants out back']"
['dpr for ftoc1200'],"['please send me more information on book g5', 'the person that runs that book , ftoc , is not aware of this book', 'please send me the book name and we will try and track it down', 'fyi , please send all future central desk/ontario desk inquires to me', 'kam has moved to the east desk and i am now the lead for the central']"
"['dr', 'burgess']","[""i meant to email you over the weekend to let you know it was on it 's way"", 'just be sure to fill out the matching gifts form', 'please let me know if there is any hold up on that', 'looks like we will not make it back to auburn until the fall for football season', 'i will give you a call a few weeks before we come in to set up a tour of the raptor center/vet school']"
"['petro canada - tagg q44721', '1']","['as is the case will all ft-ontario deals done at a us point , the deal must flow physically from a us book eventhough the canadian trader gets the long term income/loss from the deal', 'this is a commercial decision that risk has to abide by', 'the oa group , specifically john valdes has given jim little the deal numbers in the past that comprise this problem to eliminate repeat performances', 'this deal in question began in 11/00 and since you are doing december oa i would assume this one has not yet made the list', 'i suggest forwarding to jim little/john valdes to eliminate future problems']"
['changes to deals'],"['fyi , i have been notified by hunter again that any future srew ups are my behind', ""so , please verify your p & l 's nightly for accuracy , mainly curve shift and new deal problems"", ""curve shift reports should be run for all of your p & l 's and new deals should be tied out before calcing"", 'i know you guys almost always do this , i am just giving you a friendly reminder since hunter is going to be watching us even closer now', 'also , please remember when we change any deals in sitara to notify the intra month trader', 'i also heard this request from hunter']"
"['mr', 'chicago']","['do you know the names of some good jazz clubs in chicago i figure you spend so much time there you can reccomend a few to me', 'i have a coworker going up there next month and it is their first time to chicago', 'i gave them etta james place to go on rush and on the south side', 'can you think of any other']"
['november central and ontario liquidations'],"['can we go ahead and take the unexplained amount ( numbers at the bottom of your schedule ) for ontario thru 0008', 'it appears that the number will be roughly 25k in income , making the number 255k unexplained and that will be for the months 0009-0011', 'can we also do the same on central through 0006 , this will be roughly 56k in expenses', 'this will clean up that as well', 'please shout if there are any problems']"
['this weekend'],"['i have been meaning to email you all day', 'i have been extremely busy as wel', 'i am sorry to hear that', 'ashley and i were looking forward to going out to dinner with you guys on saturday', ""maybe we will call your folks and see if they would like to go out for your dad 's bday"", 'i will have to give him a call tomorrow to wish him happy birthday', 'do you have his number at work or an email at work']"
['pages to print for hunter'],"['i just wanted to update you guys on the status of the emw reports for hunter', 'the emw positions 1 file is now updated and accurate', 'every night when kevin finishes his p & l file and updates the emw positions file , he will email the entire central team', ""if one of us is still here , we can print out the necessary reports and leave them on hunter 's desk"", 'if no one is here , the first person in will need to print these reports out and give them to hunter with the var report', 'for the time being hunter will be the only one needing these reports , i will communicate any change in distribution that he requests', ""also for the time being , we will be going into kevin 's p & l file , which is in the same location as our intra month p & l 's that we sign off on , and printing the four tabs that he has identified in the email attached"", 'when hunter has time to review this format with me , we may make changes to the reports we print out', 'the emw positions 1 file is in the same location as our ce positions 1 file', 'please as always , shout with any questions or concerns']"
"[""jackson 's birthday cake""]","['i forgot to tell you last night , ginger called and said tori will be there', 'i thought there were possibly going to be other kids there as well', ""what about just going out to eat at lupe 's with your mom and nonnie that sounds good to me"", 'we do not have to have a party with brian/rebecca , kim and ev and then they feel obligated to bring a gift', 'no big deal to me and i am sure no big deal to them', 'what are we doing for dinner tonight pl']"
['new deals for our traders'],"['just wanted to give you guys a reminder when it comes to new deals out of our traders notebooks', ""please check each morning when you copy the new deals for the current day that you verify the prior day 's last deal was entered"", ""it is very easy to miss a deal the trader does after four and the trader 's do not always remind us that they did a deal late"", 'i spoke with hunter this morning and he wants these mistakes to stop', ""this does n't happen often , put it is very easy to miss these types of deals in the future""]"
['tuberville'],"['tell you what , you win', 'i really am tired of banging my head against a wall talking to an irrational person', 'i was not trying to make fun of your school , you chose that route', 'i was trying to make a simple point that recruiting at enron does not make a school elite', 'does nasa recruit at lsu does ibm who cares the point once again , we were talking about sports ! see you in baton rouge in september', 'go ahead and respond , so that way you have the last word']"
['broker changes'],"['the broker amerex is no longer under the short name of amerx in deal capture', 'from this point on , the short name is amerg , which stands for amerex natural gas , ltd', 'amerx will now default to amerex petroleum , which is incorrect', 'also , the broker spectron is no longer spect', 'the new short name is speci , which stands for spectron energy , inc', 'if you have any questions , please let me know']"
['transport model'],"['attached is the revised model with all of your transport deals from yesterday and the farwell deal', 'please review and let me know if you agree with this', 'if you agree , we will unwind/kill the tagg deals and book the spreadsheet amounts', 'we are still working on the spread option and foreign exchange being included in this model', 'for the foreign exchange , i took an average exchange rate for the life of each deal for now']"
['nov & dec central p & ls'],"['attached is a file we put together with the daily figures on them for central 1 & central 2', 'the total page should tie to what i gave you last week', 'i highlighted the five days on each month the highest absolute value change', 'i then attached those days p & l top sheets', 'please review this information and let us know what type of detailed support you will need']"
['ft-ont-central'],"['kam asked that i email you guys about the ft-ontario book move', 'please move the book for price , basis and index from to ft-ontario', 'this also encompasses splitting out the price and basis and fixing the curves in the curve table', 'this needs to be done by monday night , 7/31']"
['ft-ont-central'],"['asked that i email you guys about the ft-ontario book move', 'please move the book for price , basis and index from to ft-ontario', 'this also encompasses splitting out the price and basis and fixing the curves in the curve table', 'this needs to be done by monday night , 7/31']"
"['dr', 'burgess']","['sam-here is a little something about my grandfather dr walter herschel burgess was a 1950 graduate of alabama polytechnic institute , now auburn university', 'he practied vetinary medicine for 38 years in haleyville , alabama', 'was blessed with 3 children , 2 grandchildren and one great grandchild', 'was an avid golfer and tremendous football fan', 'he held auburn football season tickets for 50 years', 'recently received the golden eagle from auburn university in recognition of 50 years of alumni service', 'dr burgess was a world war ii veteran', 'd auburn and sent all three of his children and both grandchildren to school on the plains', 'due to his for auburn that he instilled in his family , there will definitely be a forth generation auburn graduate in the burgess family', 'was also a proud member of the ots vetinary fraternity at auburn university', 'was born in cullman county , alabama and was a 50 year resident of haleyville , alabama', 'please feel free to take some liberties and rearrange or omit some of the things i stated above']"
['product going to wrong curve'],"['could you please change the curve mappings on a type of trade for robyn menear', 'the trade is a gd index swap for out months', 'the product type is us gas basis - gd/m trunk wla', 'this is currently being mapped to a gdp curve adn we need it changed to trunkl/wla-gd', 'robyn sets this curve everyday as a basis curve']"
['vacation time'],"['fyi - not sure if anyone ahs been putting in on a time sheet', ""i got a report and most everyone 's was blank"", 'if you believe this to be an error , see me and i will show you the list', 'i am not calling anyone out for cheating on their vacation , it is on an honor system with me', 'i draw your attention to this matter because we always seem to have a problem at the end of the year with people having a bunch of vacation and only being able to carry over 40 hrs', 'please make sure to plan on taking at least all but 40 hrs of yours so we do not run into issues at year end', 'i have attached the site for your time sheets', 'you will need your p and password to access , contact security if you do not have either', 'if you need help filling this out , let me know', 'i think we are supposed to fill out a time sheet every two weeks , but i only fill mine out when i take vacation']"
"['ontario , people , & sithe financial liquidations']","['the fred file for ontario did not include flashed liquidations detail', 'it appears the files were not prepared by risk', 'i have prepared the files and attached them', 'do you mind including this in the fred file and reissuing']"
"[""jackson 's birthday cake""]","['that is all fine with me', 'just ask mom what she wants to do', 'she will not flip out again , i think', 'we can see if she wants to do anything on his actual birthday', 'what are we going to actually do after the gymboree thing , are we inviting anyone else over pl']"
['flying high'],"['all too rarely , airline attendants make an effort to make the in-flightsafety lecture and their other announcements a bit more entertaining', ""here are some real examples that have been heard or reported on a continental flight with a very senior flight attendant crew , pilotsaid , ladies and gentlemen , we 've reached cruising altitude and will beturning down the cabin lights"", 'this is for your comfort and to enhance the appearance of your flight attendants', 'on landing the stewardess said , please be sure to take all yourbelongings', ""if you are going to leave anything please make sure it'ssomething we 'd like to have"", 'there may be 50 ways to leave your lover , but there are only 4 ways outof this airplane', 'thank you for flying delta business express', 'we hope you enjoyed givingus the business as much as we enjoyed taking you for a ride', 'as the plane landed and was coming to a stop at washington national , a']"
['sitara # ?'],"['if you look in tagg , the sitara deal number is in the comments section - 372156', 'if any of you guys want us to come up and show you how to use tagg or what we do to find these numbers , give me a shout', 'the deal is liquidating in the ontario book because the ontario trader did the deal', 'if that trader does a deal at a us point , the gas has to physically flow out of a us book , not a canadian book', ""this deal is only for one month , so this will not make jim little 's recurring list that he automatically transfers for you guys"", 'let me know if you have any more questions', ""i also got some message from souad that you need some help with a people 's deal"", 'she thought you said you emailed me on the deal and i do not have an email , let me know if you still need assistance with that issue']"
"[""d'aarcy , masius , benton & bowles usa , inc"", '- project services']","[""agreement , as you my recall , you returned the original subcontractor letter with respect to the referenced agreement as you were unable to locate the original project services agreement in enron 's files"", 'i was just talking to carol st', 'clair , one of the attorneys i work for , and we are of the agreement that we can not sign this side subcontractor letter until we track down where the original agreement is', 'how can we locate the orignal agreement within enron corp']"
['master swap agreement database'],"['within the next few days ( i hope ! ) we will be able to open the master swap agreement database , now called the financial trading agreement database , to people outside of legal and credit', 'you will be able to use this database to verify master agreement information and special confirmation issues', 'jeff , once we have the data inputted , you will also be able to verify branch offices and adopted isda definitions in the master agreement ( that project is still in progress )', 'can you please send me a list of the people in your group who would like to have view access to this database', 'i will have to email them the link']"
['enrononline market descriptions'],"['mark taylor has asked me to forward the attached email to each of you', ""per mark 's direction and the email , we need to sign off , from a legal ( not business ) perspective only , on the attached descriptions of the 12 product areas to be traded online"", 'so far we have only received 5 of the referenced 12 descriptions', 'i will forward the additional descriptions to the relevant legal group when i receive them', 'per the attached email , awais needs our legal sign off by friday', 'i understand may be out for the rest of the week so the attached descriptions on coal , so2 and nox will need to be approved by someone else in his group', ""i 'm not sure who that would be"", 'could you let me know mark asked if shari and could sign off on the weather and pulp & paper description for our group']"
['non disclosure'],"['attached is our form of confidentiality agreement which we would prefer to use', 'if after reviewing our agreement you still prefer to use your own form , carol st', 'clair , an attorney in our group will have to get back to you with our comments', 'i will wait to hear from you']"
['non disclosure'],"['attached is our form of confidentiality agreement which we would prefer to use', 'if after reviewing our agreement you ill prefer to use your own form ,', ', an attorney in our group will have to get back to you with our comments', 'i will wait to hear from you']"
['online confirmation meeting'],"[""bob shults called this meeting to see what the status was for the different product groups ' confirmation and gtc forms"", 'the two issues out of the meeting i was asked to bring to your attention were', ""attaching the online gtc 's to the outgoing confirmations"", ""per our discussion , it was my understanding that the gtc 's would be attached to all outgoing confirmations"", 'that does not seem to be the general consensus', ""there seems to be feedback from london that is not the case , and janice moore was also saying she did n't know if that 's what the liquids people were going to do"", 'bob shults asked for your direction with these holdouts', 'the issue of the credit in the masters being overriden', ""first , after our discussions yesterday , we could n't figure out a way they could change the approval status within credit from approved with a master to a b approved gtc with credit"", 'second , bob shults thought that had been agreed to have the credit overridefor all the product areas and i told him that financial was still discussing this issue with credit , so we would have to get back to him', 'i guess the physical people are ok with that', ""i do n't know what discussions you have had with jeff and alan , but bob shults appears to want to have this confirmed for him"", 'also , along with the credit override of the master , there is supposed to be some letter that will be sent out to the counterparties', 'who will be drafting that letter and will it be the same for all product groups']"
"['enron north america corp', 'nymex hedge exemption applications']","[', the nymex may require the aggregation of employees trading with the trades of the company', 'further , enron company policy prohibits employees from trading any commodities products that the company trades', 'therefore , in the future , please do not trade any products the company trades', 'if you have any questions as to a specific product , please call me at x33399', 'mark taylor 06/22/2000 08 48 am']"
['nda - aspen technologies'],"['at the request of bob shults , i am attaching our proposed form of non-disclosure agreement', 'i am not sure if we have the correct legal name of your company , so can you please verify that for me', 'if you have any comments or questions please call mark greenberg , senior counsel , at ( 713 ) 345-8897 or me at ( 713 ) 853-3399', 'we look forward to hearing from you']"
['nda - aspen technologies'],"['at the request of , i am attaching our proposed form of non-disclosure agreement', 'i am not sure if we have the correct legal name of your company , so can you please verify that for me', 'if you have any comments or questions please call , senior counsel , at ( 713 ) 345-8897 or me at ( 713 ) 853-3399', 'we look forward to hearing from you']"
['enrononline market descriptions'],"['here are the next four descriptions', ""per awais 's message below , he is still trying to get these by today"", 'i know it is a little late', 'let me know if this will be an issue', 'please give me your comments so i can coordinate responses']"
['omlx rules'],"['i just got an update from the omlx of their rules', 'do you need me to make you a copy or are you also getting updates also , i get faxes of all their notices', ""so far nothing i 've received has been interesting"", ""do you get copies of their notices do you need me to send you anything i feel is worth noting they 've also promoted me to compliance director , so i 'm going to go in and ask for a raise to match my title !""]"
['database'],"["", i 'm sure there would be no problem with you copying our master swap agreement and using it for your contract applicions"", 'it is my hope to use it for all the ect trading groups , the power group has already copies it , i spoke to london about copying it for their other trading groups , and i have shown it to other groups , from global contracts to ees', 'all you would need to do is change the contract drop downs', 'contact mike neves , who is working on this for us , and either he , or someone else can be assigned to developing a similar system for you']"
['nda - pricewaterhousecoopers llp'],"['at the request of mark greenberg , i am forwarding to you the proposed non-disclosure agreement between pricewaterhouse ( for creditdimensions ) and enron credit limited', ""mark greenberg has spoken to the counterparty and made a few changes to pricewaterhouse 's form"", 'if you have any questions about the transaction , the business person on the deal is kim detiveaux here in houston', 'otherwise , we would appreciate your assistance in getting richard sage in london to execute this agreement']"
['nda - pricewaterhousecoopers llp'],"['at the request of , i am forwarding to you the proposed non-disclosure agreement between pricewaterhouse ( for creditdimensions ) and enron credit limited', ""has spoken to the counterparty and made a few changes to pricewaterhouse 's form"", 'if you have any questions about the transaction , the business person on the deal is kim detiveaux here in houston', 'otherwise , we would appreciate your assistance in getting richard sage in london to execute this agreement']"
['duke energy international'],"['in response to your email , yes , our confidentiality language was so limited that it did not allow us to provide the agreement to affiliates of either party without consent', 'we revised the form about 9 months ago to broaden the langage to include affiliates , but duke is an old master so they need our consent so they can provide it to their affiliate', 'unless federico has any reason not to waive the language , i think we can go ahead & draft a waiver up here and send it to duke', 'can you talk to federico asap and run that by him and let me know so i can get this over to duke']"
